ticker,close_date,close_price,date_after_gap,price_after_gap,change_price_after_gap
KAZTP,2021-12-22 00:00:00,376.2,2022-01-21 00:00:00,378.8,1.0069112174375332
KAZTP,2022-05-23 00:00:00,443.6,2022-06-22 00:00:00,430.4,0.9702434625788998
KAZTP,2022-10-03 00:00:00,397.4,2022-11-02 00:00:00,417.8,1.051333668847509
KAZTP,2023-05-22 00:00:00,706.6,2023-06-21 00:00:00,655.2,0.9272572884234362
KAZTP,2023-12-12 00:00:00,658.0,2024-01-11 00:00:00,657.0,0.9984802431610942
KBSB,2022-07-14 00:00:00,131.5,2022-08-13 00:00:00,139.5,1.0608365019011408
KBSB,2023-06-01 00:00:00,249.0,2023-07-01 00:00:00,283.0,1.1365461847389555
KGKC,2021-07-19 00:00:00,47.8,2021-08-18 00:00:00,48.0,1.00418410041841
KGKC,2022-12-23 00:00:00,33.6,2023-01-22 00:00:00,34.4,1.0238095238095235
KGKC,2023-07-17 00:00:00,53.2,2023-08-16 00:00:00,71.0,1.3345864661654134
KGKCP,2021-07-19 00:00:00,48.8,2021-08-18 00:00:00,47.6,0.975409836065574
KGKCP,2022-12-23 00:00:00,36.8,2023-01-22 00:00:00,38.4,1.0434782608695652
KGKCP,2023-07-17 00:00:00,60.8,2023-08-16 00:00:00,58.2,0.9572368421052632
KMAZ,2021-06-16 00:00:00,74.6,2021-07-16 00:00:00,73.6,0.9865951742627346
KRSB,2021-06-08 00:00:00,9.53,2021-07-08 00:00:00,9.21,0.9664218258132216
KRSB,2022-06-02 00:00:00,7.6,2022-07-02 00:00:00,7.12,0.936842105263158
KRSB,2023-06-02 00:00:00,13.01,2023-07-02 00:00:00,14.54,1.1176018447348193
KRSBP,2021-06-08 00:00:00,10.0,2021-07-08 00:00:00,9.2,0.92
KRSBP,2022-06-02 00:00:00,8.18,2022-07-02 00:00:00,7.78,0.9511002444987776
KRSBP,2023-06-02 00:00:00,13.28,2023-07-02 00:00:00,14.58,1.0978915662650603
KUBE,2022-06-27 00:00:00,56.8,2022-07-27 00:00:00,56.5,0.994718309859155
KUBE,2022-12-16 00:00:00,61.7,2023-01-15 00:00:00,59.9,0.9708265802269044
KUBE,2023-06-30 00:00:00,206.0,2023-07-30 00:00:00,333.0,1.616504854368932
KUZB,2021-05-24 00:00:00,0.02541,2021-06-23 00:00:00,0.0254,0.9996064541519089
KUZB,2023-07-11 00:00:00,0.05701,2023-08-10 00:00:00,0.068,1.1927731976846168
KUZB,2023-12-11 00:00:00,0.04595,2024-01-10 00:00:00,0.0481,1.0467899891186072
KZOS,2021-05-06 00:00:00,92.3,2021-06-05 00:00:00,90.9,0.9848320693391116
KZOS,2021-09-20 00:00:00,113.1,2021-10-20 00:00:00,103.4,0.9142351900972592
KZOS,2022-07-11 00:00:00,70.3,2022-08-10 00:00:00,86.1,1.22475106685633
KZOS,2023-07-11 00:00:00,110.6,2023-08-10 00:00:00,115.3,1.04249547920434
KZOSP,2021-05-06 00:00:00,34.2,2021-06-05 00:00:00,32.38,0.9467836257309942
KZOSP,2021-09-20 00:00:00,32.09,2021-10-20 00:00:00,30.15,0.939545029604238
KZOSP,2022-07-11 00:00:00,15.61,2022-08-10 00:00:00,18.65,1.1947469570787956
KZOSP,2023-07-11 00:00:00,28.96,2023-08-10 00:00:00,32.36,1.117403314917127
LSNG,2021-06-29 00:00:00,6.06,2021-07-29 00:00:00,6.06,1.0
LSNG,2022-06-10 00:00:00,6.84,2022-07-10 00:00:00,6.9,1.0087719298245614
LSNG,2023-01-08 00:00:00,8.57,2023-02-07 00:00:00,11.23,1.310385064177363
LSNG,2023-06-27 00:00:00,14.84,2023-07-27 00:00:00,18.32,1.2345013477088949
LSNGP,2021-06-29 00:00:00,150.65,2021-07-29 00:00:00,159.35,1.057749751078659
LSNGP,2022-06-10 00:00:00,136.25,2022-07-10 00:00:00,150.05,1.101284403669725
LSNGP,2023-01-08 00:00:00,122.8,2023-02-07 00:00:00,125.75,1.0240228013029316
LSNGP,2023-06-27 00:00:00,204.35,2023-07-27 00:00:00,208.85,1.022021042329337
LSRG,2021-05-11 00:00:00,781.0,2021-06-10 00:00:00,777.0,0.9948783610755442
